# SD_tot is the amplitude of the overall spectral distortion (SD)
# The SD[i] are the amplitudes of the individual SDs
# The SDs are given in units [10^-26 W m^-2 Hz^-1 sr^-1] 
#
# 1:Dimensionless frequency x     2:Frequency nu [GHz]     3:SD_tot                 4:SD[g]                  5:SD[y]                  6:SD[mu]             
       1.000000000000e-02       5.679027320597e-01       0.000000000000e+00       0.000000000000e+00      -1.897435082772e-04      -4.461687462908e-02 
       1.017180298875e-02       5.776594707284e-01       0.000000000000e+00       0.000000000000e+00      -1.963191004479e-04      -4.537981990994e-02 
       1.034655760420e-02       5.875838330836e-01       0.000000000000e+00       0.000000000000e+00      -2.031225667698e-04      -4.615574831379e-02 
       1.052431455616e-02       5.976786989501e-01       0.000000000000e+00       0.000000000000e+00      -2.101618038313e-04      -4.694487856772e-02 
       1.070512542569e-02       6.079469976293e-01       0.000000000000e+00       0.000000000000e+00      -2.174449818430e-04      -4.774743300601e-02 
       1.088904268000e-02       6.183917087487e-01       0.000000000000e+00       0.000000000000e+00      -2.249805541179e-04      -4.856363762690e-02 
       1.107611968771e-02       6.290158631269e-01       0.000000000000e+00       0.000000000000e+00      -2.327772668796e-04      -4.939372215009e-02 
       1.126641073432e-02       6.398225436526e-01       0.000000000000e+00       0.000000000000e+00      -2.408441694098e-04      -5.023792007503e-02 
       1.145997103798e-02       6.508148861795e-01       0.000000000000e+00       0.000000000000e+00      -2.491906245477e-04      -5.109646874007e-02 
       1.165685676551e-02       6.619960804364e-01       0.000000000000e+00       0.000000000000e+00      -2.578263195530e-04      -5.196960938235e-02 
       1.185712504869e-02       6.733693709524e-01       0.000000000000e+00       0.000000000000e+00      -2.667612773449e-04      -5.285758719857e-02 
       1.206083400082e-02       6.849380579987e-01       0.000000000000e+00       0.000000000000e+00      -2.760058681305e-04      -5.376065140656e-02 
       1.226804273364e-02       6.967054985460e-01       0.000000000000e+00       0.000000000000e+00      -2.855708214356e-04      -5.467905530768e-02 
       1.247881137442e-02       7.086751072389e-01       0.000000000000e+00       0.000000000000e+00      -2.954672385526e-04      -5.561305635007e-02 
       1.269320108343e-02       7.208503573866e-01       0.000000000000e+00       0.000000000000e+00      -3.057066054191e-04      -5.656291619272e-02 
       1.291127407173e-02       7.332347819706e-01       0.000000000000e+00       0.000000000000e+00      -3.163008059424e-04      -5.752890077041e-02 
       1.313309361914e-02       7.458319746705e-01       0.000000000000e+00       0.000000000000e+00      -3.272621357855e-04      -5.851128035954e-02 
       1.335872409267e-02       7.586455909059e-01       0.000000000000e+00       0.000000000000e+00      -3.386033166308e-04      -5.951032964471e-02 
       1.358823096517e-02       7.716793488979e-01       0.000000000000e+00       0.000000000000e+00      -3.503375109369e-04      -6.052632778632e-02 
       1.382168083434e-02       7.849370307476e-01       0.000000000000e+00       0.000000000000e+00      -3.624783372070e-04      -6.155955848891e-02 
       1.405914144203e-02       7.984224835340e-01       0.000000000000e+00       0.000000000000e+00      -3.750398857856e-04      -6.261031007046e-02 
       1.430068169393e-02       8.121396204297e-01       0.000000000000e+00       0.000000000000e+00      -3.880367352023e-04      -6.367887553254e-02 
       1.454637167954e-02       8.260924218369e-01       0.000000000000e+00       0.000000000000e+00      -4.014839690811e-04      -6.476555263130e-02 
       1.479628269255e-02       8.402849365425e-01       0.000000000000e+00       0.000000000000e+00      -4.153971936355e-04      -6.587064394950e-02 
       1.505048725144e-02       8.547212828925e-01       0.000000000000e+00       0.000000000000e+00      -4.297925557688e-04      -6.699445696921e-02 
       1.530905912064e-02       8.694056499874e-01       0.000000000000e+00       0.000000000000e+00      -4.446867618012e-04      -6.813730414563e-02 
       1.557207333183e-02       8.843422988979e-01       0.000000000000e+00       0.000000000000e+00      -4.600970968454e-04      -6.929950298165e-02 
       1.583960620577e-02       8.995355639008e-01       0.000000000000e+00       0.000000000000e+00      -4.760414448520e-04      -7.048137610339e-02 
       1.611173537445e-02       9.149898537373e-01       0.000000000000e+00       0.000000000000e+00      -4.925383093498e-04      -7.168325133660e-02 
       1.638853980358e-02       9.307096528922e-01       0.000000000000e+00       0.000000000000e+00      -5.096068349029e-04      -7.290546178405e-02 
       1.667009981553e-02       9.466995228947e-01       0.000000000000e+00       0.000000000000e+00      -5.272668293113e-04      -7.414834590369e-02 
       1.695649711264e-02       9.629641036429e-01       0.000000000000e+00       0.000000000000e+00      -5.455387865790e-04      -7.541224758784e-02 
       1.724781480091e-02       9.795081147495e-01       0.000000000000e+00       0.000000000000e+00      -5.644439106775e-04      -7.669751624324e-02 
       1.754413741413e-02       9.963363569114e-01       0.000000000000e+00       0.000000000000e+00      -5.840041401313e-04      -7.800450687200e-02 
       1.784555093841e-02       1.013453713303e+00       0.000000000000e+00       0.000000000000e+00      -6.042421734543e-04      -7.933358015346e-02 
       1.815214283712e-02       1.030865150994e+00       0.000000000000e+00       0.000000000000e+00      -6.251814954658e-04      -8.068510252700e-02 
       1.846400207628e-02       1.048575722388e+00       0.000000000000e+00       0.000000000000e+00      -6.468464045178e-04      -8.205944627564e-02 
       1.878121915038e-02       1.066590566691e+00       0.000000000000e+00       0.000000000000e+00      -6.692620406637e-04      -8.345698961071e-02 
       1.910388610862e-02       1.084914911405e+00       0.000000000000e+00       0.000000000000e+00      -6.924544148011e-04      -8.487811675722e-02 
       1.943209658165e-02       1.103554073836e+00       0.000000000000e+00       0.000000000000e+00      -7.164504388238e-04      -8.632321804031e-02 
       1.976594580869e-02       1.122513462650e+00       0.000000000000e+00       0.000000000000e+00      -7.412779568157e-04      -8.779268997245e-02 
       2.010553066523e-02       1.141798579429e+00       0.000000000000e+00       0.000000000000e+00      -7.669657773238e-04      -8.928693534156e-02 
       2.045094969110e-02       1.161415020279e+00       0.000000000000e+00       0.000000000000e+00      -7.935437067482e-04      -9.080636330006e-02 
       2.080230311907e-02       1.181368477445e+00       0.000000000000e+00       0.000000000000e+00      -8.210425838855e-04      -9.235138945472e-02 
       2.115969290394e-02       1.201664740969e+00       0.000000000000e+00       0.000000000000e+00      -8.494943156675e-04      -9.392243595737e-02 
       2.152322275214e-02       1.222309700367e+00       0.000000000000e+00       0.000000000000e+00      -8.789319141356e-04      -9.551993159649e-02 
       2.189299815177e-02       1.243309346337e+00       0.000000000000e+00       0.000000000000e+00      -9.093895346934e-04      -9.714431188966e-02 
       2.226912640329e-02       1.264669772501e+00       0.000000000000e+00       0.000000000000e+00      -9.409025156815e-04      -9.879601917673e-02 
       2.265171665059e-02       1.286397177171e+00       0.000000000000e+00       0.000000000000e+00      -9.735074193211e-04      -1.004755027139e-01 
       2.304087991268e-02       1.308497865147e+00       0.000000000000e+00       0.000000000000e+00      -1.007242074072e-03      -1.021832187687e-01 
       2.343672911592e-02       1.330978249547e+00       0.000000000000e+00       0.000000000000e+00      -1.042145618454e-03      -1.039196307154e-01 
       2.383937912679e-02       1.353844853671e+00       0.000000000000e+00       0.000000000000e+00      -1.078258546387e-03      -1.056852091314e-01 
       2.424894678518e-02       1.377104312887e+00       0.000000000000e+00       0.000000000000e+00      -1.115622754089e-03      -1.074804318949e-01 
